datetime,latitude,NS,longitude,EW,altitude,speed,direction
18-8-6_7:2:32.700,3958.3957,N,11629.8137,Unknown,3.6,12.69,180.88
18-8-6_7:2:32.800,3958.3954,N,11629.8137,Unknown,3.6,12.33,181.02
18-8-6_7:2:32.900,3958.3950,N,11629.8137,Unknown,3.6,12.55,180.87
18-8-6_7:2:33.0,3958.3947,N,11629.8137,Unknown,3.6,12.51,180.87
18-8-6_7:2:33.100,3958.3943,N,11629.8137,Unknown,3.5,12.59,180.57
18-8-6_7:2:33.200,3958.3940,N,11629.8137,Unknown,3.5,12.62,180.51
18-8-6_7:2:33.300,3958.3936,N,11629.8137,Unknown,3.5,12.65,180.21
18-8-6_7:2:33.400,3958.3933,N,11629.8137,Unknown,3.5,12.64,180.16
18-8-6_7:2:33.500,3958.3929,N,11629.8137,Unknown,3.5,12.65,180.19
18-8-6_7:2:33.600,3958.3926,N,11629.8137,Unknown,3.5,12.66,180.16
18-8-6_7:2:33.700,3958.3922,N,11629.8137,Unknown,3.4,12.65,180.45
18-8-6_7:2:33.800,3958.3919,N,11629.8136,Unknown,3.4,12.68,180.55
18-8-6_7:2:33.900,3958.3915,N,11629.8136,Unknown,3.4,12.71,181.19
18-8-6_7:2:34.0,3958.3912,N,11629.8136,Unknown,3.4,12.72,181.11
18-8-6_7:2:34.100,3958.3908,N,11629.8136,Unknown,3.4,12.75,180.83
18-8-6_7:2:34.200,3958.3904,N,11629.8136,Unknown,3.4,12.78,180.98
18-8-6_7:2:34.300,3958.3901,N,11629.8136,Unknown,3.3,12.99,180.71
18-8-6_7:2:34.400,3958.3897,N,11629.8136,Unknown,3.3,12.96,180.21
18-8-6_7:2:34.500,3958.3894,N,11629.8136,Unknown,3.3,12.92,180.19
18-8-6_7:2:34.600,3958.3890,N,11629.8136,Unknown,3.3,12.98,179.45
18-8-6_7:2:34.700,3958.3887,N,11629.8136,Unknown,3.3,13.00,178.82
18-8-6_7:2:34.800,3958.3883,N,11629.8136,Unknown,3.3,13.04,178.51
18-8-6_7:2:34.900,3958.3879,N,11629.8136,Unknown,3.2,12.77,178.91
18-8-6_7:2:35.0,3958.3876,N,11629.8136,Unknown,3.2,13.04,179.24
18-8-6_7:2:35.100,3958.3872,N,11629.8136,Unknown,3.2,12.84,179.81
18-8-6_7:2:35.200,3958.3868,N,11629.8136,Unknown,3.2,12.91,179.52
18-8-6_7:2:35.300,3958.3865,N,11629.8137,Unknown,3.2,13.14,179.12
18-8-6_7:2:35.400,3958.3861,N,11629.8137,Unknown,3.2,13.34,178.53
18-8-6_7:2:35.500,3958.3858,N,11629.8137,Unknown,3.2,12.91,178.85
18-8-6_7:2:35.600,3958.3854,N,11629.8137,Unknown,3.1,12.98,179.43
18-8-6_7:2:35.700,3958.3850,N,11629.8137,Unknown,3.1,13.02,179.72
18-8-6_7:2:35.800,3958.3847,N,11629.8137,Unknown,3.1,13.07,179.88
18-8-6_7:2:35.900,3958.3843,N,11629.8137,Unknown,3.1,12.84,179.92
18-8-6_7:2:36.0,3958.3839,N,11629.8137,Unknown,3.1,12.86,179.62
18-8-6_7:2:36.100,3958.3836,N,11629.8137,Unknown,3.1,13.04,179.64
18-8-6_7:2:36.200,3958.3832,N,11629.8137,Unknown,3.1,13.02,180.06
18-8-6_7:2:36.300,3958.3829,N,11629.8137,Unknown,3.1,12.94,179.81
18-8-6_7:2:36.400,3958.3825,N,11629.8137,Unknown,3.1,12.76,179.24
18-8-6_7:2:36.500,3958.3822,N,11629.8137,Unknown,3.0,12.72,178.22
18-8-6_7:2:36.600,3958.3818,N,11629.8137,Unknown,3.0,12.54,178.24
18-8-6_7:2:36.700,3958.3814,N,11629.8137,Unknown,3.0,12.75,178.01
18-8-6_7:2:36.800,3958.3811,N,11629.8138,Unknown,3.0,12.67,178.41
18-8-6_7:2:36.900,3958.3807,N,11629.8138,Unknown,3.0,12.69,178.65
18-8-6_7:2:37.0,3958.3804,N,11629.8138,Unknown,3.0,12.44,179.30
18-8-6_7:2:37.100,3958.3800,N,11629.8138,Unknown,3.0,12.63,179.17
18-8-6_7:2:37.200,3958.3797,N,11629.8138,Unknown,3.0,12.45,179.35
18-8-6_7:2:37.300,3958.3793,N,11629.8138,Unknown,3.0,12.47,179.12
18-8-6_7:2:37.400,3958.3790,N,11629.8138,Unknown,2.9,12.40,178.95
18-8-6_7:2:37.500,3958.3787,N,11629.8138,Unknown,2.9,12.20,178.79
18-8-6_7:2:37.600,3958.3783,N,11629.8138,Unknown,2.9,12.41,178.67
18-8-6_7:2:37.700,3958.3780,N,11629.8138,Unknown,2.9,12.35,178.38
18-8-6_7:2:37.800,3958.3776,N,11629.8138,Unknown,2.9,12.17,178.05
18-8-6_7:2:37.900,3958.3773,N,11629.8139,Unknown,2.9,12.20,177.90
18-8-6_7:2:38.0,3958.3770,N,11629.8139,Unknown,2.9,12.03,177.87
18-8-6_7:2:38.100,3958.3766,N,11629.8139,Unknown,2.9,12.37,177.91
18-8-6_7:2:38.200,3958.3763,N,11629.8139,Unknown,2.9,12.05,178.03
18-8-6_7:2:38.300,3958.3759,N,11629.8139,Unknown,2.9,12.00,178.00
18-8-6_7:2:38.400,3958.3756,N,11629.8139,Unknown,2.9,11.84,178.16
18-8-6_7:2:38.500,3958.3753,N,11629.8139,Unknown,2.8,11.81,177.53
18-8-6_7:2:38.600,3958.3750,N,11629.8140,Unknown,2.8,11.51,177.86
18-8-6_7:2:38.700,3958.3746,N,11629.8140,Unknown,2.8,11.57,177.63
18-8-6_7:2:38.800,3958.3743,N,11629.8140,Unknown,2.8,11.58,177.84
18-8-6_7:2:38.900,3958.3740,N,11629.8140,Unknown,2.8,11.55,177.53
18-8-6_7:2:39.0,3958.3737,N,11629.8140,Unknown,2.8,11.58,177.63
18-8-6_7:2:39.100,3958.3733,N,11629.8141,Unknown,2.8,11.27,177.94
18-8-6_7:2:39.200,3958.3730,N,11629.8141,Unknown,2.8,11.26,178.33
18-8-6_7:2:39.300,3958.3727,N,11629.8141,Unknown,2.8,11.27,177.70
18-8-6_7:2:39.400,3958.3724,N,11629.8141,Unknown,2.8,11.02,177.65
18-8-6_7:2:39.500,3958.3721,N,11629.8141,Unknown,2.8,11.21,177.67
18-8-6_7:2:39.600,3958.3718,N,11629.8141,Unknown,2.7,11.23,177.34
18-8-6_7:2:39.700,3958.3715,N,11629.8141,Unknown,2.7,11.21,177.00
18-8-6_7:2:39.800,3958.3712,N,11629.8142,Unknown,2.7,11.22,177.34
18-8-6_7:2:39.900,3958.3709,N,11629.8142,Unknown,2.7,11.53,178.00
18-8-6_7:2:40.0,3958.3705,N,11629.8142,Unknown,2.7,11.58,177.37
18-8-6_7:2:40.100,3958.3702,N,11629.8142,Unknown,2.7,11.74,177.33
18-8-6_7:2:40.200,3958.3699,N,11629.8142,Unknown,2.7,11.76,177.62
18-8-6_7:2:40.300,3958.3696,N,11629.8143,Unknown,2.7,12.02,177.76
18-8-6_7:2:40.400,3958.3692,N,11629.8143,Unknown,2.6,12.01,178.26
18-8-6_7:2:40.500,3958.3689,N,11629.8143,Unknown,2.6,12.19,178.96
18-8-6_7:2:40.600,3958.3685,N,11629.8143,Unknown,2.6,12.46,179.22
18-8-6_7:2:40.700,3958.3682,N,11629.8143,Unknown,2.6,12.40,179.49
18-8-6_7:2:40.800,3958.3679,N,11629.8143,Unknown,2.6,12.47,179.32
18-8-6_7:2:40.900,3958.3675,N,11629.8143,Unknown,2.6,12.64,179.27
18-8-6_7:2:41.0,3958.3672,N,11629.8143,Unknown,2.6,12.63,178.99
18-8-6_7:2:41.100,3958.3668,N,11629.8143,Unknown,2.5,12.60,178.85
18-8-6_7:2:41.400,3958.3658,N,11629.8143,Unknown,2.5,12.84,179.03
18-8-6_7:2:41.500,3958.3654,N,11629.8144,Unknown,2.5,12.84,179.25
18-8-6_7:2:41.600,3958.3650,N,11629.8144,Unknown,2.5,12.85,179.29
18-8-6_7:2:41.700,3958.3647,N,11629.8144,Unknown,2.4,13.28,179.26
18-8-6_7:2:41.800,3958.3643,N,11629.8144,Unknown,2.4,13.22,179.04
18-8-6_7:2:41.900,3958.3639,N,11629.8144,Unknown,2.4,13.16,178.88
18-8-6_7:2:42.0,3958.3636,N,11629.8144,Unknown,2.4,13.17,179.04
18-8-6_7:2:42.100,3958.3632,N,11629.8144,Unknown,2.4,13.24,178.89
18-8-6_7:2:42.200,3958.3628,N,11629.8144,Unknown,2.4,13.48,178.81
18-8-6_7:2:42.300,3958.3625,N,11629.8144,Unknown,2.3,13.45,178.90
18-8-6_7:2:42.400,3958.3621,N,11629.8144,Unknown,2.3,13.51,179.06
18-8-6_7:2:42.500,3958.3617,N,11629.8144,Unknown,2.3,13.55,179.13
18-8-6_7:2:42.600,3958.3613,N,11629.8144,Unknown,2.3,13.54,179.36
18-8-6_7:2:42.700,3958.3610,N,11629.8144,Unknown,2.3,13.73,179.41
18-8-6_7:2:42.800,3958.3606,N,11629.8145,Unknown,2.3,13.90,179.29
18-8-6_7:2:42.900,3958.3602,N,11629.8145,Unknown,2.3,13.83,178.95
18-8-6_7:2:43.0,3958.3598,N,11629.8145,Unknown,2.3,13.79,178.94
18-8-6_7:2:43.100,3958.3594,N,11629.8145,Unknown,2.3,13.98,179.12
18-8-6_7:2:43.200,3958.3590,N,11629.8145,Unknown,2.3,14.00,179.50
18-8-6_7:2:43.300,3958.3587,N,11629.8145,Unknown,2.3,13.94,179.55
18-8-6_7:2:43.400,3958.3583,N,11629.8145,Unknown,2.3,13.89,179.51
18-8-6_7:2:43.500,3958.3579,N,11629.8145,Unknown,2.3,14.28,179.29
18-8-6_7:2:43.600,3958.3575,N,11629.8145,Unknown,2.3,14.26,179.05
18-8-6_7:2:43.700,3958.3571,N,11629.8145,Unknown,2.3,13.86,179.35
18-8-6_7:2:44.0,3958.3559,N,11629.8145,Unknown,2.3,13.94,179.72
18-8-6_7:2:44.100,3958.3555,N,11629.8145,Unknown,2.3,13.88,180.27
18-8-6_7:2:44.200,3958.3552,N,11629.8145,Unknown,2.3,13.84,179.88
18-8-6_7:2:44.300,3958.3548,N,11629.8145,Unknown,2.3,13.80,180.02
18-8-6_7:2:44.400,3958.3544,N,11629.8145,Unknown,2.3,13.77,179.98
18-8-6_7:2:44.500,3958.3540,N,11629.8145,Unknown,2.3,13.97,179.67
18-8-6_7:2:44.600,3958.3536,N,11629.8145,Unknown,2.3,13.79,179.53
18-8-6_7:2:44.700,3958.3532,N,11629.8145,Unknown,2.3,13.86,179.96
18-8-6_7:2:44.800,3958.3528,N,11629.8145,Unknown,2.3,13.84,180.00
18-8-6_7:2:44.900,3958.3525,N,11629.8145,Unknown,2.3,13.66,180.00
18-8-6_7:2:45.0,3958.3521,N,11629.8145,Unknown,2.3,13.37,179.80
18-8-6_7:2:45.100,3958.3517,N,11629.8145,Unknown,2.3,13.76,179.81
18-8-6_7:2:45.200,3958.3513,N,11629.8145,Unknown,2.3,13.70,179.64
18-8-6_7:2:45.300,3958.3509,N,11629.8145,Unknown,2.3,13.69,179.59
18-8-6_7:2:45.400,3958.3506,N,11629.8145,Unknown,2.3,13.68,179.59
18-8-6_7:2:45.500,3958.3502,N,11629.8145,Unknown,2.3,13.61,179.54
18-8-6_7:2:45.600,3958.3498,N,11629.8146,Unknown,2.3,13.85,179.57
18-8-6_7:2:45.700,3958.3494,N,11629.8146,Unknown,2.3,13.63,179.76
18-8-6_7:2:45.800,3958.3490,N,11629.8146,Unknown,2.3,14.02,179.62
18-8-6_7:2:45.900,3958.3487,N,11629.8146,Unknown,2.3,13.75,180.07
18-8-6_7:2:46.0,3958.3483,N,11629.8146,Unknown,2.3,13.70,179.91
18-8-6_7:2:46.100,3958.3479,N,11629.8146,Unknown,2.3,13.71,179.64
18-8-6_7:2:46.200,3958.3475,N,11629.8146,Unknown,2.3,13.77,179.53
18-8-6_7:2:46.300,3958.3471,N,11629.8146,Unknown,2.3,13.94,179.34
18-8-6_7:2:46.400,3958.3467,N,11629.8146,Unknown,2.3,13.90,178.95
18-8-6_7:2:46.500,3958.3464,N,11629.8146,Unknown,2.3,13.70,179.95
18-8-6_7:2:46.600,3958.3460,N,11629.8146,Unknown,2.3,13.53,180.58
18-8-6_7:2:46.700,3958.3456,N,11629.8146,Unknown,2.4,13.45,180.71
18-8-6_7:2:46.800,3958.3452,N,11629.8146,Unknown,2.4,13.48,180.42
18-8-6_7:2:46.900,3958.3448,N,11629.8146,Unknown,2.4,13.48,180.18
18-8-6_7:2:47.0,3958.3445,N,11629.8146,Unknown,2.4,13.48,180.13
18-8-6_7:2:47.100,3958.3441,N,11629.8146,Unknown,2.4,13.12,180.30
18-8-6_7:2:47.200,3958.3437,N,11629.8146,Unknown,2.4,13.16,180.90
18-8-6_7:2:47.300,3958.3434,N,11629.8145,Unknown,2.4,13.36,181.60
18-8-6_7:2:47.400,3958.3430,N,11629.8145,Unknown,2.4,13.30,181.73
18-8-6_7:2:47.500,3958.3426,N,11629.8145,Unknown,2.4,13.24,181.54
18-8-6_7:2:47.600,3958.3423,N,11629.8145,Unknown,2.4,13.44,181.44
18-8-6_7:2:47.700,3958.3419,N,11629.8145,Unknown,2.4,13.50,181.11
18-8-6_7:2:47.800,3958.3415,N,11629.8145,Unknown,2.4,13.49,180.58
18-8-6_7:2:47.900,3958.3411,N,11629.8145,Unknown,2.4,13.56,180.28
18-8-6_7:2:48.0,3958.3408,N,11629.8145,Unknown,2.4,13.55,179.74
18-8-6_7:2:48.100,3958.3404,N,11629.8145,Unknown,2.4,13.56,179.33
18-8-6_7:2:48.200,3958.3400,N,11629.8145,Unknown,2.4,13.59,179.29
18-8-6_7:2:48.300,3958.3396,N,11629.8145,Unknown,2.5,13.39,179.36
18-8-6_7:2:48.400,3958.3392,N,11629.8145,Unknown,2.5,13.46,179.75
18-8-6_7:2:48.500,3958.3389,N,11629.8145,Unknown,2.5,13.52,180.31
18-8-6_7:2:48.600,3958.3385,N,11629.8145,Unknown,2.5,13.22,180.21
18-8-6_7:2:48.700,3958.3381,N,11629.8145,Unknown,2.5,13.24,180.02
18-8-6_7:2:48.800,3958.3378,N,11629.8145,Unknown,2.5,13.20,179.56
18-8-6_7:2:48.900,3958.3374,N,11629.8145,Unknown,2.5,13.38,179.21
18-8-6_7:2:49.0,3958.3370,N,11629.8145,Unknown,2.5,13.32,179.38
18-8-6_7:2:49.100,3958.3367,N,11629.8145,Unknown,2.5,13.76,179.14
18-8-6_7:2:49.200,3958.3363,N,11629.8145,Unknown,2.5,13.32,179.20
18-8-6_7:2:49.300,3958.3359,N,11629.8145,Unknown,2.5,13.62,178.86
18-8-6_7:2:49.400,3958.3355,N,11629.8146,Unknown,2.6,13.60,178.60
18-8-6_7:2:49.500,3958.3351,N,11629.8146,Unknown,2.6,13.62,178.89
18-8-6_7:2:49.600,3958.3348,N,11629.8146,Unknown,2.6,13.61,179.22
18-8-6_7:2:49.700,3958.3344,N,11629.8146,Unknown,2.6,13.63,179.48
18-8-6_7:2:49.800,3958.3340,N,11629.8146,Unknown,2.6,13.62,179.74
18-8-6_7:2:49.900,3958.3336,N,11629.8146,Unknown,2.6,13.36,179.88
18-8-6_7:2:50.0,3958.3333,N,11629.8146,Unknown,2.6,13.12,179.39
18-8-6_7:2:50.100,3958.3329,N,11629.8146,Unknown,2.6,13.45,178.82
18-8-6_7:2:50.200,3958.3325,N,11629.8146,Unknown,2.6,13.09,178.64
18-8-6_7:2:50.300,3958.3322,N,11629.8146,Unknown,2.6,13.88,177.88
18-8-6_7:2:50.400,3958.3318,N,11629.8146,Unknown,2.6,13.22,177.96
18-8-6_7:2:50.500,3958.3314,N,11629.8146,Unknown,2.6,13.28,177.92
18-8-6_7:2:50.600,3958.3310,N,11629.8147,Unknown,2.6,13.44,177.96
18-8-6_7:2:50.700,3958.3307,N,11629.8147,Unknown,2.6,13.39,177.79
18-8-6_7:2:50.800,3958.3303,N,11629.8147,Unknown,2.6,13.35,177.99
18-8-6_7:2:50.900,3958.3299,N,11629.8147,Unknown,2.6,13.28,177.97
18-8-6_7:2:51.0,3958.3295,N,11629.8147,Unknown,2.6,13.23,178.37
18-8-6_7:2:51.100,3958.3292,N,11629.8147,Unknown,2.6,12.94,178.62
18-8-6_7:2:51.200,3958.3288,N,11629.8148,Unknown,2.6,12.89,178.88
18-8-6_7:2:51.300,3958.3285,N,11629.8148,Unknown,2.6,12.92,179.42
18-8-6_7:2:51.400,3958.3281,N,11629.8148,Unknown,2.6,12.87,179.81
18-8-6_7:2:51.500,3958.3277,N,11629.8148,Unknown,2.6,12.80,180.07
18-8-6_7:2:51.600,3958.3274,N,11629.8148,Unknown,2.6,12.52,180.15
18-8-6_7:2:51.700,3958.3270,N,11629.8148,Unknown,2.6,12.57,180.20
18-8-6_7:2:51.800,3958.3267,N,11629.8148,Unknown,2.6,12.58,180.21
18-8-6_7:2:51.900,3958.3263,N,11629.8148,Unknown,2.6,12.78,180.58
18-8-6_7:2:52.0,3958.3260,N,11629.8147,Unknown,2.6,12.75,180.79
18-8-6_7:2:52.100,3958.3256,N,11629.8147,Unknown,2.6,12.57,180.80
18-8-6_7:2:52.200,3958.3253,N,11629.8147,Unknown,2.6,12.53,180.40
18-8-6_7:2:52.300,3958.3249,N,11629.8147,Unknown,2.6,12.58,180.23
18-8-6_7:2:52.400,3958.3246,N,11629.8147,Unknown,2.6,12.56,180.20
18-8-6_7:2:52.500,3958.3242,N,11629.8147,Unknown,2.6,12.60,179.93
18-8-6_7:2:52.600,3958.3239,N,11629.8147,Unknown,2.6,13.13,179.66
18-8-6_7:2:52.700,3958.3235,N,11629.8147,Unknown,2.6,12.73,179.81
18-8-6_7:2:52.800,3958.3232,N,11629.8147,Unknown,2.6,12.76,179.92
18-8-6_7:2:52.900,3958.3228,N,11629.8147,Unknown,2.5,12.78,179.92
18-8-6_7:2:53.0,3958.3225,N,11629.8147,Unknown,2.5,12.80,180.14
18-8-6_7:2:53.100,3958.3221,N,11629.8147,Unknown,2.5,12.85,180.14
18-8-6_7:2:53.200,3958.3217,N,11629.8147,Unknown,2.5,12.85,180.53
18-8-6_7:2:53.300,3958.3214,N,11629.8147,Unknown,2.5,12.85,180.23
18-8-6_7:2:53.400,3958.3210,N,11629.8147,Unknown,2.5,13.07,180.02
18-8-6_7:2:53.500,3958.3207,N,11629.8147,Unknown,2.5,12.73,180.29
18-8-6_7:2:53.600,3958.3203,N,11629.8147,Unknown,2.5,12.92,180.46
18-8-6_7:2:53.700,3958.3199,N,11629.8147,Unknown,2.5,12.94,180.58
18-8-6_7:2:53.800,3958.3196,N,11629.8147,Unknown,2.5,12.89,180.65
18-8-6_7:2:53.900,3958.3192,N,11629.8147,Unknown,2.5,12.92,180.36
18-8-6_7:2:54.0,3958.3189,N,11629.8147,Unknown,2.4,12.86,180.47
18-8-6_7:2:54.100,3958.3185,N,11629.8147,Unknown,2.4,13.09,181.17
18-8-6_7:2:54.200,3958.3182,N,11629.8147,Unknown,2.4,13.05,181.52
18-8-6_7:2:54.300,3958.3178,N,11629.8147,Unknown,2.4,13.05,181.60
18-8-6_7:2:54.400,3958.3174,N,11629.8147,Unknown,2.4,13.09,181.59
18-8-6_7:2:54.500,3958.3171,N,11629.8147,Unknown,2.4,12.84,181.17
18-8-6_7:2:54.600,3958.3167,N,11629.8147,Unknown,2.4,12.91,180.91
18-8-6_7:2:54.700,3958.3163,N,11629.8146,Unknown,2.4,12.97,181.37
18-8-6_7:2:54.800,3958.3160,N,11629.8146,Unknown,2.4,12.94,181.73
18-8-6_7:2:54.900,3958.3156,N,11629.8146,Unknown,2.4,12.93,181.90
18-8-6_7:2:55.0,3958.3153,N,11629.8146,Unknown,2.3,12.90,181.90
18-8-6_7:2:55.100,3958.3149,N,11629.8146,Unknown,2.3,12.92,182.28
18-8-6_7:2:55.200,3958.3145,N,11629.8146,Unknown,2.3,12.91,182.27
18-8-6_7:2:55.300,3958.3142,N,11629.8145,Unknown,2.3,12.67,182.19
18-8-6_7:2:55.400,3958.3138,N,11629.8145,Unknown,2.3,12.66,181.91
18-8-6_7:2:55.500,3958.3135,N,11629.8145,Unknown,2.3,13.33,182.25
18-8-6_7:2:55.600,3958.3131,N,11629.8145,Unknown,2.3,12.61,181.94
18-8-6_7:2:55.700,3958.3128,N,11629.8145,Unknown,2.3,12.97,181.89
18-8-6_7:2:55.800,3958.3124,N,11629.8145,Unknown,2.2,12.66,181.96
18-8-6_7:2:55.900,3958.3120,N,11629.8144,Unknown,2.2,12.48,181.91
18-8-6_7:2:56.0,3958.3117,N,11629.8144,Unknown,2.2,12.26,181.71
18-8-6_7:2:56.100,3958.3114,N,11629.8144,Unknown,2.2,12.08,181.83
18-8-6_7:2:56.200,3958.3110,N,11629.8144,Unknown,2.2,12.06,181.60
18-8-6_7:2:56.300,3958.3107,N,11629.8144,Unknown,2.2,11.88,181.60
18-8-6_7:2:56.400,3958.3104,N,11629.8144,Unknown,2.1,11.85,181.74
18-8-6_7:2:56.500,3958.3100,N,11629.8144,Unknown,2.1,11.90,181.72
18-8-6_7:2:56.600,3958.3097,N,11629.8144,Unknown,2.1,11.87,182.02
18-8-6_7:2:56.700,3958.3094,N,11629.8143,Unknown,2.1,11.86,182.26
18-8-6_7:2:56.800,3958.3090,N,11629.8143,Unknown,2.1,11.69,182.50
18-8-6_7:2:56.900,3958.3087,N,11629.8143,Unknown,2.0,11.77,182.86
18-8-6_7:2:57.0,3958.3084,N,11629.8143,Unknown,2.0,12.04,182.99
18-8-6_7:2:57.100,3958.3081,N,11629.8143,Unknown,2.0,11.71,183.42
18-8-6_7:2:57.200,3958.3077,N,11629.8142,Unknown,2.0,11.77,183.44
18-8-6_7:2:57.300,3958.3074,N,11629.8142,Unknown,2.0,11.79,183.04
18-8-6_7:2:57.400,3958.3071,N,11629.8142,Unknown,2.0,11.55,182.87
18-8-6_7:2:57.500,3958.3068,N,11629.8142,Unknown,1.9,11.27,182.75
18-8-6_7:2:57.600,3958.3064,N,11629.8141,Unknown,1.9,11.25,182.13
18-8-6_7:2:57.700,3958.3061,N,11629.8141,Unknown,1.9,11.07,181.76
18-8-6_7:2:57.800,3958.3058,N,11629.8141,Unknown,1.9,11.07,181.24
18-8-6_7:2:57.900,3958.3055,N,11629.8141,Unknown,1.9,10.89,180.90
18-8-6_7:2:58.0,3958.3052,N,11629.8141,Unknown,1.8,10.90,180.90
18-8-6_7:2:58.100,3958.3049,N,11629.8141,Unknown,1.8,10.95,180.93
18-8-6_7:2:58.200,3958.3046,N,11629.8141,Unknown,1.8,10.73,181.37
18-8-6_7:2:58.300,3958.3043,N,11629.8141,Unknown,1.8,11.05,181.42
18-8-6_7:2:58.400,3958.3040,N,11629.8141,Unknown,1.8,11.00,181.77
18-8-6_7:2:58.500,3958.3037,N,11629.8141,Unknown,1.7,11.25,181.89
18-8-6_7:2:58.600,3958.3034,N,11629.8140,Unknown,1.7,11.18,182.19
18-8-6_7:2:58.700,3958.3031,N,11629.8140,Unknown,1.7,11.18,182.17
18-8-6_7:2:58.800,3958.3028,N,11629.8140,Unknown,1.7,11.21,182.49
18-8-6_7:2:58.900,3958.3024,N,11629.8140,Unknown,1.7,11.21,182.98
18-8-6_7:2:59.0,3958.3021,N,11629.8140,Unknown,1.6,11.20,183.89
18-8-6_7:2:59.100,3958.3018,N,11629.8139,Unknown,1.6,11.40,184.41
18-8-6_7:2:59.200,3958.3015,N,11629.8139,Unknown,1.6,11.63,184.48
18-8-6_7:2:59.300,3958.3012,N,11629.8139,Unknown,1.6,11.58,184.34
18-8-6_7:2:59.400,3958.3009,N,11629.8138,Unknown,1.5,11.84,183.77
18-8-6_7:2:59.500,3958.3005,N,11629.8138,Unknown,1.5,11.67,183.56
18-8-6_7:2:59.600,3958.3002,N,11629.8138,Unknown,1.5,11.29,183.86
18-8-6_7:2:59.700,3958.2999,N,11629.8138,Unknown,1.5,11.25,183.84
18-8-6_7:2:59.800,3958.2996,N,11629.8137,Unknown,1.4,11.51,182.92
18-8-6_7:2:59.900,3958.2993,N,11629.8137,Unknown,1.4,11.53,181.84
18-8-6_7:3:0.0,3958.2989,N,11629.8137,Unknown,1.4,11.15,181.37
18-8-6_7:3:0.100,3958.2986,N,11629.8137,Unknown,1.4,11.41,180.59
18-8-6_7:3:0.200,3958.2983,N,11629.8137,Unknown,1.4,11.35,180.33
18-8-6_7:3:0.300,3958.2980,N,11629.8137,Unknown,1.3,11.32,180.20
18-8-6_7:3:0.400,3958.2977,N,11629.8137,Unknown,1.3,11.07,180.01
18-8-6_7:3:0.500,3958.2974,N,11629.8137,Unknown,1.3,11.03,179.78
18-8-6_7:3:0.600,3958.2971,N,11629.8137,Unknown,1.3,11.22,179.90
18-8-6_7:3:0.700,3958.2968,N,11629.8137,Unknown,1.3,11.50,179.83
18-8-6_7:3:0.800,3958.2964,N,11629.8137,Unknown,1.2,11.23,180.48
18-8-6_7:3:0.900,3958.2961,N,11629.8137,Unknown,1.2,11.62,180.56
18-8-6_7:3:1.0,3958.2958,N,11629.8137,Unknown,1.2,11.37,181.05
18-8-6_7:3:1.100,3958.2955,N,11629.8137,Unknown,1.2,11.57,181.39
18-8-6_7:3:1.200,3958.2952,N,11629.8137,Unknown,1.1,11.20,182.43
18-8-6_7:3:1.300,3958.2949,N,11629.8136,Unknown,1.1,11.95,182.22
18-8-6_7:3:1.400,3958.2945,N,11629.8136,Unknown,1.1,11.66,182.76
18-8-6_7:3:1.500,3958.2942,N,11629.8136,Unknown,1.1,11.69,183.02
18-8-6_7:3:1.600,3958.2939,N,11629.8136,Unknown,1.0,11.48,183.66
18-8-6_7:3:1.700,3958.2936,N,11629.8136,Unknown,1.0,12.05,183.13
18-8-6_7:3:1.800,3958.2932,N,11629.8135,Unknown,1.0,11.57,183.58
18-8-6_7:3:1.900,3958.2929,N,11629.8135,Unknown,1.0,11.57,183.30
18-8-6_7:3:2.0,3958.2926,N,11629.8135,Unknown,0.9,12.00,182.93
18-8-6_7:3:2.100,3958.2922,N,11629.8135,Unknown,0.9,11.84,182.99
18-8-6_7:3:2.200,3958.2919,N,11629.8134,Unknown,0.9,11.82,183.42
18-8-6_7:3:2.300,3958.2916,N,11629.8134,Unknown,0.9,11.51,183.88
18-8-6_7:3:2.400,3958.2913,N,11629.8134,Unknown,0.9,11.52,184.33
18-8-6_7:3:2.500,3958.2910,N,11629.8134,Unknown,0.8,11.57,184.34
18-8-6_7:3:2.600,3958.2906,N,11629.8133,Unknown,0.8,11.40,184.13
18-8-6_7:3:2.700,3958.2903,N,11629.8133,Unknown,0.8,11.37,183.84
18-8-6_7:3:2.800,3958.2900,N,11629.8133,Unknown,0.8,11.55,183.09
18-8-6_7:3:2.900,3958.2897,N,11629.8133,Unknown,0.8,11.54,182.41
18-8-6_7:3:3.0,3958.2894,N,11629.8132,Unknown,0.7,11.16,182.41
18-8-6_7:3:3.100,3958.2890,N,11629.8132,Unknown,0.7,11.50,181.79
18-8-6_7:3:3.200,3958.2887,N,11629.8132,Unknown,0.7,11.23,181.92
18-8-6_7:3:3.300,3958.2884,N,11629.8132,Unknown,0.7,11.60,182.12
18-8-6_7:3:3.400,3958.2881,N,11629.8132,Unknown,0.6,11.39,182.85
18-8-6_7:3:3.500,3958.2878,N,11629.8132,Unknown,0.6,11.45,183.32
18-8-6_7:3:3.600,3958.2875,N,11629.8131,Unknown,0.6,11.51,184.04
18-8-6_7:3:3.700,3958.2871,N,11629.8131,Unknown,0.6,11.53,184.21
18-8-6_7:3:3.800,3958.2868,N,11629.8131,Unknown,0.6,11.52,184.49
18-8-6_7:3:3.900,3958.2865,N,11629.8130,Unknown,0.5,11.32,184.50
18-8-6_7:3:4.0,3958.2862,N,11629.8130,Unknown,0.5,11.29,184.59
